id,question,answer
1,wifi는 어떻게 이용하나요?,"도서관의 이용 가능한 무선인터넷은 knu-smart(Wi-Fi6), Eduroam, KT wifi(KT_KNU_UNIV)가 있으며, 도서관 전 지역에서 이용가능 합니다. 이용가능 대상은 교직원, 재학생, 휴학생, 수료생, 졸업생(동문회원), 일반/특별회원(도서관 연회비를 납부한 회원) 입니다. 기타 자세한 사항은 [정보화본부 홈페이지] 를 참고하시기 바랍니다."
2,학외접속은 어떻게 이용하나요?,"도서관에서 제공하는 전자자료(국내DB, 국외DB 등)을 학외접속을 통해 학내와 동일하게 학외(외부)에서 이용할 수 있는 서비스입니다. 또한 홈페이지 메인페이지의 우측상단에 Campus on/off 를 통하여 학내/외 여부를 확인하실 수 있습니다. 기타 자세한 사항은 [학외접속] 페이지를 참고하시기 바랍니다."
3,도서관 앱은 어떻게 이용하나요?,"도서관 모바일 앱은 안드로이드(Google Play) 또는 iOS(AppStore)에서 다운로드 하실 수 있으며, 도서관 소장자료 검색, My Library, 공지사항, 이용안내, 도서관이용증, 좌석/시설물예약, 자료구입신청, 층별안내, 국내외 E-Book 등의 서비스를 이용할 수 있습니다. 기타 자세한 사항은 [모바일 앱 이용안내] 페이지를 참고하시기 바랍니다."
4,원하는 자료를 검색했을 때 “정리중”이라는 상태가 나오게 되면 대출은 언제쯤..,도서를 구입하여 이용자에게 제공하기 위해서는 여러 단계를 거칩니다. 이때 “정리중” 상태이면 해당 자료의 정보를 입력하는 단계라고 할 수 있습니다. 이 단계에서 대출 또는 열람 가능까지 보통 3~5일 정도 소요됩니다.
5,"홈페이지와 모바일앱에서 정리중인 자료의 ""우"" 버튼은 무엇인가요?","정리중 상태인 자료에 대해 이용자가 [우선정리] 요청을 하는 버튼입니다. 버튼을 클릭하여 신청 후 정리 완료 알림 및 메일을 받으면 중앙도서관 대출반납실에서 자료 수령 후 대출 또는 열람하실 수 있습니다. (단, 중앙도서관 자료에 한함)"
6,학과별 주제가이드가 무엇인가요?,"전공별로 다양한 학술정보 및 유용한 참고정보를 소개하고 지원하는 서비스로, 해당 주제분야의 사서가 수시로 최신정보를 업데이트하여 원하는 정보자료에 손쉽게 접근이 가능합니다. 기타 자세한 사항은 [학과별 주제가이드] 페이지를 참고하시기 바랍니다."
7,자료를 웹상에서 검색했을 때 “대출가능”이라는 상태가 나오는데 서가 상에는 자료가 존재하지 않습니다..,우리 도서관은 개가제로 자료실을 운영하고 있습니다. 따라서 원하는 자료가 서가에 없을 경우에는 다른 이용자가 관내에서 이용하고 있는 경우가 많습니다. 이럴 경우 각 자료실별 안내데스크의 소재확인신청도서 리스트를 작성하여 주시면 담당자가 책을 찾아서 연락을 드립니다.
8,"자료의 청구기호가 “경"", “백”, “민”으로 시작하는 자료는 어디에 있나요?","청구기호가 ""경"", “백”, “민”등 한글로 시작하는 자료는 개인문고 자료로 도서관 5층에 개인문고실에 소장되어 있습니다. 기타 자세한 사항은 [문고별 별치기호] 페이지를 참고하시기 바랍니다."
9,"개인문고에 있는 도서를 열람하려고 해도 문이 닫혀있는 경우가 많아서 이용할 수가 없는데, 이용하려면 어떻게 해야 하는지요?","개인문고실 이용시간 평일 09:00~18:00이며, 도서관 5층에 있습니다. 기타 자세한 사항은 5층 개인문고실로 문의하시기 바랍니다."
10,열람가능이 무슨 뜻인가요?,대출은 되지 않지만 도서관 내에서 열람 및 복사는 가능한 자료입니다.
11,열람가능은 어떤 도서에 해당되는 것인가요?,"기존에 대출이 되지 않던 연속간행물(P), 학위논문(석, 박), 개인문고, 학과(연구소) 및 연구비 도서 등이 해당됩니다."
12,찾는 책이 서가에 없는 경우 도서예약을 하고 싶은데 대출가능인 도서가 있어서 예약이 되지 않습니다. 어떻게 해야 하나요?,"해당자료실 담당직원에게 문의하시면 ""대출가능""인 도서의 도서상태를 ""조사중""으로 바꾸어 예약을 할 수 있도록 조치하여 드립니다."
13,국내도서를 검색하니 소장위치가 '2층 인문학대형서가'라고 되어 있는데 어디에 있나요?,"2층 인문학자료실 자료 중 일반서가에 배열하기 곤란한 크기의 도서를 700(예술), 900(역사) 뒷부분의 대형서가에 따로 배열한 것입니다. 기타 자세한 사항은 2층 인문학자료실로 문의하시기 바랍니다."
